PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,5,1,4,0.2,41.6,112.3,111.6,111.6,112.6,114.8,114.8,-0.3,-3.2,-3.2,0.155,1.82,14.9,0.078,0.297,0.193,8.2,8.1,0.634,0.665,0.246,0.255,98.01,97.42,81.18,97.42,0.178,424,59,93,11.8,18.6,0.634,122,136,84,157,5,62,67,67,126,158,158,97,113,113,73,83,113,39,11,11,99,98,24,20,36,36,27,54,54,12,39,52,1,16,16
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,16,9,7,0.563,40.5,113.7,115.0,115.0,110.5,110.6,110.6,3.1,4.4,4.4,0.277,2.0,19.7,0.028,0.157,0.091,9.9,9.9,0.552,0.598,0.289,0.293,94.56,93.95,78.29,93.95,0.158,1276,156,324,9.8,20.3,0.481,24,18,184,65,10,48,43,43,105,113,113,77,71,71,16,64,67,112,67,89,137,138,67,56,14,17,116,145,145,19,6,6,10,10,67
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,5,1,4,0.2,38.5,102.8,103.8,103.8,113.3,113.8,113.8,-10.5,-10.0,-10.0,0.192,2.38,14.4,0.057,0.2,0.126,6.1,6.0,0.505,0.532,0.28,0.286,93.04,92.38,76.98,92.38,0.135,371,48,97,9.6,19.4,0.495,122,136,84,157,19,138,119,119,135,145,145,152,153,153,53,48,117,54,32,43,62,61,105,120,20,22,158,183,183,36,46,49,12,14,57
1641717,Cason Wallace,Cason,1610612760,OKC,20.0,10,6,4,0.6,19.8,108.9,108.4,108.4,99.5,97.8,97.8,9.4,10.6,10.6,0.068,2.5,17.9,0.036,0.028,0.032,7.1,7.2,0.5,0.501,0.104,0.108,95.41,96.5,80.42,96.5,0.038,393,16,41,1.6,4.1,0.39,56,51,84,36,104,89,89,89,43,45,45,47,36,36,147,39,83,89,201,203,77,80,106,134,186,187,83,81,81,174,98,98,122,122,141
1631096,Chet Holmgren,Chet,1610612760,OKC,22.0,10,6,4,0.6,34.5,113.6,113.1,113.1,102.1,102.0,102.0,11.5,11.1,11.1,0.087,1.11,12.1,0.042,0.161,0.104,10.9,10.9,0.55,0.584,0.196,0.201,97.95,98.25,81.87,98.25,0.109,704,59,119,5.9,11.9,0.496,56,51,84,36,52,49,60,60,53,62,62,35,33,33,125,122,149,82,65,64,153,152,70,69,74,79,29,45,45,62,39,38,42,46,55
203081,Damian Lillard,Damian,1610612749,MIL,33.0,4,1,3,0.25,39.1,110.0,111.0,111.0,121.8,124.8,124.8,-11.8,-13.8,-13.8,0.23,2.22,16.0,0.012,0.066,0.039,7.2,7.1,0.543,0.64,0.3,0.31,95.28,93.71,78.09,93.71,0.144,308,34,81,8.5,20.3,0.42,141,136,53,147,17,79,70,70,191,196,196,159,169,169,37,56,104,164,190,195,83,78,75,31,12,13,93,152,152,26,61,60,17,10,120
1628401,Derrick White,Derrick,1610612738,BOS,29.0,19,16,3,0.842,35.6,112.9,113.6,113.6,106.0,108.1,108.1,6.9,5.5,5.5,0.179,4.81,21.9,0.029,0.095,0.062,4.6,4.6,0.587,0.617,0.182,0.186,95.55,94.33,78.61,94.33,0.114,1326,109,241,5.7,12.7,0.452,9,1,53,10,42,57,55,55,72,87,87,57,65,65,58,8,53,108,150,143,49,49,48,44,85,90,78,136,136,57,10,10,44,37,87
1626164,Devin Booker,Devin,1610612756,PHX,27.0,4,0,4,0.0,41.5,110.0,110.3,110.3,119.9,122.3,122.3,-9.9,-12.0,-12.0,0.267,2.18,20.2,0.007,0.075,0.042,9.2,9.3,0.546,0.662,0.263,0.265,97.62,96.49,80.41,96.49,0.14,331,32,65,8.0,16.3,0.492,141,174,84,174,6,80,76,76,182,191,191,149,164,164,19,59,60,170,175,189,127,128,72,21,27,31,35,82,82,31,66,72,21,22,58
1628378,Donovan Mitchell,Donovan,1610612739,CLE,27.0,10,5,5,0.5,38.2,104.8,106.0,106.0,106.1,106.7,106.7,-1.4,-0.7,-0.7,0.239,1.68,14.3,0.016,0.123,0.071,8.5,8.5,0.54,0.584,0.332,0.337,96.42,95.58,79.65,95.58,0.164,763,107,225,10.7,22.5,0.476,56,70,161,78,22,120,104,104,74,80,80,105,102,102,33,92,118,148,104,125,109,108,76,71,8,7,64,101,101,17,12,13,7,4,72
1628973,Jalen Brunson,Jalen,1610612752,NYK,27.0,13,7,6,0.538,39.8,115.3,118.2,118.2,116.1,118.2,118.2,-0.8,0.0,0.0,0.336,2.77,18.7,0.015,0.072,0.042,6.8,6.7,0.482,0.536,0.352,0.364,94.69,92.66,77.22,92.66,0.139,1004,151,340,11.6,26.2,0.444,35,37,172,70,16,37,26,26,164,179,179,103,98,98,10,35,78,154,179,190,71,71,131,117,4,3,112,177,177,33,7,4,2,1,96
1631114,Jalen Williams,Jalen,1610612760,OKC,23.0,10,6,4,0.6,37.7,113.2,112.7,112.7,103.1,104.7,104.7,10.1,8.0,8.0,0.22,2.84,22.1,0.035,0.136,0.087,7.8,7.8,0.516,0.544,0.223,0.231,97.37,96.79,80.66,96.79,0.132,763,75,160,7.5,16.0,0.469,56,51,84,36,24,53,62,62,59,68,68,43,51,51,41,34,49,93,90,94,95,94,97,109,46,47,39,71,71,40,24,22,23,23,73
1627750,Jamal Murray,Jamal,1610612743,DEN,27.0,12,7,5,0.583,38.5,110.6,111.2,111.2,114.8,114.1,114.1,-4.2,-2.9,-2.9,0.234,2.16,18.7,0.02,0.101,0.059,8.7,8.6,0.448,0.474,0.286,0.291,93.13,93.18,77.65,93.18,0.086,894,100,249,8.3,20.8,0.402,43,37,161,54,20,76,68,68,152,149,149,120,111,111,35,60,79,131,141,151,115,115,150,150,15,19,156,169,169,95,16,8,20,8,137
201935,James Harden,James,1610612746,LAC,34.0,6,2,4,0.333,40.3,105.1,107.5,107.5,115.8,117.2,117.2,-10.6,-9.8,-9.8,0.35,3.43,29.4,0.013,0.102,0.058,8.6,8.5,0.551,0.616,0.22,0.227,92.31,90.72,75.6,90.72,0.154,455,40,89,6.7,14.8,0.449,95,101,84,113,12,116,98,98,162,172,172,153,149,149,9,20,21,161,139,156,111,107,69,46,48,51,174,207,207,21,56,55,30,27,88
