PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
1630578,Alperen Sengun,Alperen,1610612745,HOU,21.0,63,29,34,0.46,32.5,112.0,113.9,113.9,111.8,113.2,113.2,0.2,0.8,0.8,0.248,1.93,19.4,0.086,0.193,0.139,10.1,10.1,0.553,0.585,0.27,0.273,100.66,99.22,82.68,99.22,0.149,4236,527,982,8.4,15.6,0.537,191,213,446,351,66,246,187,187,267,310,310,244,231,231,85,268,229,88,82,83,349,350,221,204,40,44,306,417,417,33,36,56,28,50,92
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,76,45,31,0.592,35.5,115.0,116.5,116.5,112.1,114.0,114.0,2.8,2.6,2.6,0.151,1.67,13.8,0.093,0.252,0.176,8.3,8.2,0.567,0.621,0.261,0.266,103.6,102.06,85.05,102.06,0.168,5743,713,1283,9.4,16.9,0.556,61,66,406,184,14,143,105,105,282,350,350,184,185,185,203,333,402,69,19,26,190,188,178,98,47,49,84,183,183,13,9,19,12,35,78
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,79,54,25,0.684,35.1,114.3,115.8,115.8,106.6,108.5,108.5,7.7,7.3,7.3,0.241,1.68,16.8,0.02,0.131,0.078,10.0,9.9,0.522,0.575,0.314,0.322,99.69,98.18,81.82,98.18,0.145,5675,718,1558,9.1,19.7,0.461,30,18,311,67,22,171,128,128,74,117,117,73,77,77,92,330,301,429,230,291,341,339,333,247,9,10,374,494,494,35,8,3,15,8,252
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,71,40,31,0.563,34.0,109.9,110.1,110.1,108.4,109.3,109.3,1.4,0.8,0.8,0.193,1.72,17.0,0.067,0.242,0.154,9.9,10.0,0.529,0.576,0.247,0.252,97.93,97.43,81.19,97.43,0.152,4909,530,1017,7.5,14.3,0.521,118,110,406,241,37,319,308,308,107,142,142,211,228,228,145,319,295,138,23,51,338,342,301,241,66,68,517,537,537,28,34,49,49,63,113
1630595,Cade Cunningham,Cade,1610612765,DET,22.0,62,9,53,0.145,33.5,108.3,109.9,109.9,116.7,117.8,117.8,-8.4,-7.9,-7.9,0.359,2.19,23.8,0.016,0.115,0.064,10.9,10.8,0.5,0.546,0.298,0.305,101.99,100.77,83.97,100.77,0.126,4351,524,1167,8.5,18.8,0.449,200,412,555,541,48,376,318,318,477,495,495,439,435,435,11,207,132,476,303,381,408,403,383,352,16,17,191,283,283,83,38,31,27,16,297
1641717,Cason Wallace,Cason,1610612760,OKC,20.0,82,57,25,0.695,20.6,114.9,113.9,113.9,108.9,110.0,110.0,6.0,3.9,3.9,0.092,2.67,19.2,0.032,0.077,0.056,7.2,7.2,0.602,0.612,0.127,0.131,101.64,101.56,84.64,101.56,0.071,3574,217,442,2.6,5.4,0.491,2,4,311,60,237,147,189,189,128,169,169,107,140,140,364,116,231,307,497,441,120,123,81,117,468,469,216,222,222,382,195,199,256,276,165
1631096,Chet Holmgren,Chet,1610612760,OKC,22.0,82,57,25,0.695,29.4,118.0,118.2,118.2,109.4,109.2,109.2,8.6,9.0,9.0,0.112,1.53,14.3,0.056,0.198,0.132,9.3,9.3,0.598,0.632,0.21,0.216,102.74,102.8,85.67,102.8,0.133,5150,505,953,6.2,11.6,0.53,2,4,311,60,108,56,66,66,145,137,137,63,58,58,308,371,389,177,77,91,287,290,89,72,138,141,138,140,140,61,43,60,78,97,102
203081,Damian Lillard,Damian,1610612749,MIL,33.0,73,48,25,0.658,35.3,118.1,119.4,119.4,110.5,112.4,112.4,7.5,6.9,6.9,0.284,2.63,23.2,0.014,0.102,0.06,8.8,8.8,0.51,0.59,0.274,0.281,103.48,102.06,85.05,102.06,0.132,5486,541,1277,7.4,17.5,0.424,99,36,311,91,18,54,51,51,206,282,282,81,82,82,44,123,147,494,377,416,249,243,364,187,34,37,89,182,182,62,31,20,51,32,392
1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,26.0,74,42,32,0.568,35.9,115.1,116.6,116.6,112.6,112.3,112.3,2.5,4.3,4.3,0.244,2.15,17.8,0.024,0.104,0.062,8.3,8.3,0.534,0.567,0.3,0.306,102.26,101.71,84.76,101.71,0.128,5630,720,1549,9.7,20.9,0.465,87,88,425,232,10,138,101,101,303,277,277,189,132,132,90,211,276,391,364,393,192,194,280,283,15,16,168,212,212,75,7,4,8,4,234
201942,DeMar DeRozan,DeMar,1610612741,CHI,34.0,79,37,42,0.468,37.8,113.3,113.5,113.5,113.9,114.6,114.6,-0.6,-1.0,-1.0,0.22,3.12,19.4,0.014,0.101,0.057,6.2,6.2,0.507,0.584,0.252,0.26,98.32,97.94,81.62,97.94,0.129,6098,650,1355,8.2,17.2,0.48,30,139,515,346,1,204,205,205,361,384,384,274,288,288,108,66,226,492,383,435,74,74,372,209,57,58,492,506,506,71,14,14,30,33,198
1628401,Derrick White,Derrick,1610612738,BOS,29.0,73,58,15,0.795,32.6,121.2,122.4,122.4,108.5,109.9,109.9,12.7,12.5,12.5,0.209,3.37,27.1,0.022,0.1,0.063,8.1,8.0,0.578,0.611,0.183,0.187,100.59,99.48,82.9,99.48,0.106,4935,387,839,5.3,11.5,0.461,99,3,168,20,64,19,13,13,113,163,163,26,27,27,125,49,85,406,388,391,178,178,138,121,209,222,310,397,397,166,87,82,104,100,249
1626164,Devin Booker,Devin,1610612756,PHX,27.0,68,43,25,0.632,36.0,117.8,119.3,119.3,112.4,113.5,113.5,5.4,5.8,5.8,0.299,2.65,22.1,0.024,0.098,0.063,8.3,8.3,0.55,0.611,0.289,0.297,101.12,99.96,83.3,99.96,0.142,5103,642,1305,9.4,19.2,0.492,148,79,311,118,8,62,52,52,292,323,323,117,99,99,33,119,163,387,397,389,200,193,233,119,23,24,268,351,351,42,16,17,11,13,163
1627734,Domantas Sabonis,Domantas,1610612758,SAC,28.0,82,46,36,0.561,35.7,114.2,116.0,116.0,114.0,115.2,115.2,0.1,0.8,0.8,0.334,2.47,30.8,0.097,0.295,0.192,12.4,12.4,0.609,0.637,0.22,0.223,100.93,99.63,83.03,99.63,0.169,6086,634,1068,7.7,13.0,0.594,2,52,469,248,12,178,121,121,372,415,415,249,229,229,15,157,48,60,7,11,487,487,73,68,127,129,287,385,385,11,19,43,43,77,49
1628378,Donovan Mitchell,Donovan,1610612739,CLE,27.0,55,36,19,0.655,35.3,115.1,115.9,115.9,107.4,108.6,108.6,7.7,7.3,7.3,0.268,2.16,19.5,0.024,0.116,0.071,9.0,9.0,0.545,0.595,0.301,0.307,100.79,99.82,83.19,99.82,0.15,4054,503,1089,9.1,19.8,0.462,258,146,226,95,19,140,124,124,86,120,120,75,78,78,58,210,223,392,295,341,258,256,246,173,14,14,296,364,364,29,44,39,13,7,246
203110,Draymond Green,Draymond,1610612744,GSW,34.0,55,33,22,0.6,27.1,115.1,115.6,115.6,110.1,110.7,110.7,5.0,4.9,4.9,0.276,2.46,38.1,0.05,0.2,0.127,15.5,15.5,0.566,0.587,0.148,0.152,103.69,103.22,86.02,103.22,0.108,3211,185,372,3.4,6.8,0.497,258,173,262,170,142,137,135,135,188,201,201,125,123,123,50,161,18,207,73,104,545,545,182,199,375,383,82,122,122,162,218,229,207,216,156
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,29.0,73,45,28,0.616,35.2,118.7,119.8,119.8,112.5,113.2,113.2,6.2,6.6,6.6,0.314,1.9,19.6,0.077,0.237,0.159,10.3,10.2,0.624,0.649,0.32,0.327,102.89,102.1,85.09,102.1,0.197,5451,837,1369,11.5,18.8,0.611,99,66,361,150,21,42,43,43,296,311,311,100,88,88,22,271,218,114,29,44,368,366,53,55,6,6,124,180,180,7,1,13,3,19,37
1629630,Ja Morant,Ja,1610612763,MEM,24.0,9,6,3,0.667,35.3,109.9,111.0,111.0,109.7,111.1,111.1,0.2,-0.2,-0.2,0.384,2.7,24.5,0.019,0.134,0.077,9.1,9.1,0.512,0.57,0.296,0.305,102.22,101.08,84.23,101.08,0.157,675,80,170,8.9,18.9,0.471,498,458,39,76,17,316,283,283,162,224,224,245,263,263,8,112,124,444,219,297,261,262,360,266,18,18,174,258,258,20,334,336,20,15,221
1628973,Jalen Brunson,Jalen,1610612752,NYK,27.0,77,49,28,0.636,35.4,117.9,121.2,121.2,111.9,112.6,112.6,6.0,8.6,8.6,0.315,2.79,20.5,0.015,0.088,0.051,7.4,7.2,0.543,0.592,0.311,0.321,98.3,96.68,80.56,96.68,0.156,5508,790,1648,10.3,21.4,0.479,54,29,361,108,16,59,22,22,277,287,287,108,64,64,20,103,200,480,446,480,131,125,250,182,11,11,493,555,555,23,5,2,6,3,199
1631114,Jalen Williams,Jalen,1610612760,OKC,23.0,71,51,20,0.718,31.3,117.5,117.7,117.7,108.6,108.9,108.9,9.0,8.8,8.8,0.202,2.62,21.0,0.017,0.102,0.062,8.0,8.0,0.592,0.621,0.232,0.236,103.18,102.94,85.78,102.94,0.123,4752,536,993,7.5,14.0,0.54,118,26,237,45,85,67,74,74,116,125,125,55,59,59,133,127,189,456,376,396,176,177,99,96,100,102,107,135,135,90,33,54,47,65,87
