PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,5,1,4,0.2,41.6,11.8,18.6,0.634,0.0,1.0,0.0,4.2,5.2,0.808,3.0,12.6,15.6,4.0,2.2,0.4,1.6,0.8,3.8,4.8,27.8,-1.8,56.3,5,0,51.4,122,136,55,157,5,1,16,16,154,135,154,19,19,77,9,1,1,34,28,111,4,35,7,17,9,130,3,7,6,5
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,16,9,7,0.563,40.5,9.8,20.3,0.481,2.9,7.2,0.4,5.2,6.4,0.814,1.1,5.9,7.0,6.5,3.3,1.5,0.6,0.8,2.3,4.1,27.6,4.4,48.7,2,0,48.1,24,18,18,65,10,10,10,67,11,15,41,13,12,75,55,24,27,8,7,8,53,39,58,23,11,20,7,22,6,7
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,5,1,4,0.2,38.5,9.6,19.4,0.495,0.4,2.0,0.2,3.0,4.2,0.714,2.2,7.2,9.4,3.8,1.6,0.4,0.0,0.6,3.0,4.2,22.6,-7.2,39.2,2,0,37.0,122,136,55,157,19,12,14,57,120,108,142,29,27,105,20,9,11,37,43,111,142,52,27,21,18,193,21,22,6,21
1641717,Cason Wallace,Cason,1610612760,OKC,20.0,10,6,4,0.6,19.8,1.6,4.1,0.39,0.9,2.8,0.321,0.1,0.2,0.5,0.7,0.6,1.3,1.0,0.4,0.9,0.2,0.1,1.4,0.4,4.2,3.2,10.2,0,0,9.6,56,51,55,36,104,122,122,141,97,92,101,159,159,139,88,182,153,105,139,51,108,143,115,152,125,37,123,46,6,122
1631096,Chet Holmgren,Chet,1610612760,OKC,22.0,10,6,4,0.6,34.5,5.9,11.9,0.496,1.3,5.0,0.26,2.5,3.3,0.758,1.4,5.8,7.2,2.1,1.9,0.7,2.5,0.8,2.6,3.4,15.6,7.5,35.1,1,0,32.6,56,51,55,36,52,42,46,55,71,38,124,34,34,92,46,25,24,64,35,76,1,35,47,33,42,5,30,31,6,33
203081,Damian Lillard,Damian,1610612749,MIL,33.0,4,1,3,0.25,39.1,8.5,20.3,0.42,5.0,12.0,0.417,9.3,9.5,0.974,0.5,2.8,3.3,5.0,2.3,1.0,0.0,0.8,2.0,6.3,31.3,-8.8,43.4,0,0,46.5,141,136,132,147,17,17,10,120,1,1,28,3,3,30,106,77,91,22,25,35,142,39,76,7,3,199,14,46,6,10
1628401,Derrick White,Derrick,1610612738,BOS,29.0,19,16,3,0.842,35.6,5.7,12.7,0.452,3.4,8.5,0.404,1.8,2.0,0.921,1.0,3.3,4.3,4.1,0.8,0.9,1.2,0.2,2.3,2.3,16.7,3.5,33.6,0,0,32.8,9,1,132,10,42,44,37,87,5,7,39,49,58,34,57,64,65,33,93,47,17,119,57,54,35,31,33,46,6,32
1626164,Devin Booker,Devin,1610612756,PHX,27.0,4,0,4,0.0,41.5,8.0,16.3,0.492,1.8,5.0,0.35,9.8,10.3,0.951,0.3,3.0,3.3,6.0,2.8,1.8,0.3,1.8,4.5,7.3,27.5,-11.5,43.7,0,0,42.5,141,174,55,174,6,21,22,58,43,38,80,2,2,32,145,68,91,11,12,5,98,2,1,3,12,205,13,46,6,14
1628378,Donovan Mitchell,Donovan,1610612739,CLE,27.0,10,5,5,0.5,38.2,10.7,22.5,0.476,2.9,8.2,0.354,5.3,6.5,0.815,0.6,4.8,5.4,4.7,2.8,1.3,0.3,1.1,2.9,5.4,29.6,0.0,45.1,0,0,45.8,56,70,44,78,22,7,4,72,10,8,76,11,10,73,99,38,46,25,10,14,95,19,32,11,6,95,11,46,6,12
1628973,Jalen Brunson,Jalen,1610612752,NYK,27.0,13,7,6,0.538,39.8,11.6,26.2,0.444,2.0,6.5,0.31,7.2,9.2,0.775,0.6,2.7,3.3,7.5,2.7,0.8,0.2,1.2,2.0,8.4,32.4,0.9,47.6,3,0,47.0,35,37,32,70,16,2,1,96,27,19,105,4,4,84,98,81,89,6,14,65,127,17,76,2,2,78,9,15,6,9
