PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
203076,Anthony Davis,1610612747,LAL,31.0,5,41.6,12.8,8.4,4.4,2.2,0.0,4.6,10.6,0.2,0.4,0.6,0.333,0.667,0.0,0.8,0.8,0.8,0.6,0.0,1.0,1.0,0.75
1630162,Anthony Edwards,1610612750,MIN,22.0,16,40.5,3.5,1.88,1.63,2.81,0.0,0.13,0.31,0.75,0.31,1.06,0.706,0.294,0.0,0.38,0.38,0.38,0.25,0.0,1.0,1.0,0.667
1628389,Bam Adebayo,1610612748,MIA,26.0,5,38.5,5.6,1.8,3.8,1.6,0.0,5.0,12.8,0.4,0.2,0.6,0.667,0.333,0.4,0.8,1.2,1.0,0.8,0.333,0.667,0.833,0.667
1641717,Cason Wallace,1610612760,OKC,20.0,10,19.8,3.6,1.4,2.2,1.8,0.0,0.4,0.9,0.1,0.2,0.3,0.333,0.667,0.0,0.1,0.1,0.1,0.0,0.0,1.0,1.0,0.0
1631096,Chet Holmgren,1610612760,OKC,22.0,10,34.5,10.6,9.3,1.3,2.2,0.0,2.1,4.7,0.3,0.3,0.6,0.5,0.5,0.2,2.9,3.1,3.0,1.5,0.065,0.935,1.0,0.5
203081,Damian Lillard,1610612749,MIL,33.0,4,39.1,1.5,0.0,1.5,1.75,0.25,0.25,0.5,0.0,0.25,0.25,0.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0
1628401,Derrick White,1610612738,BOS,29.0,19,35.6,6.53,4.74,1.79,2.05,0.11,0.74,1.79,0.42,0.26,0.68,0.615,0.385,0.05,0.11,0.16,0.16,0.05,0.333,0.667,1.0,0.333
1626164,Devin Booker,1610612756,PHX,27.0,4,41.5,3.25,2.0,1.25,2.25,0.0,1.0,2.25,0.75,1.0,1.75,0.429,0.571,0.0,1.5,1.5,1.5,0.25,0.0,1.0,1.0,0.167
1628378,Donovan Mitchell,1610612739,CLE,27.0,10,38.2,2.4,1.5,0.9,1.5,0.0,0.1,0.2,0.5,0.5,1.0,0.5,0.5,0.0,1.3,1.3,1.3,0.4,0.0,1.0,1.0,0.308
1628973,Jalen Brunson,1610612752,NYK,27.0,13,39.8,2.0,0.85,1.15,1.85,0.46,0.54,1.23,0.31,0.23,0.54,0.571,0.429,0.0,0.46,0.46,0.46,0.15,0.0,1.0,1.0,0.333
1631114,Jalen Williams,1610612760,OKC,23.0,10,37.7,4.1,2.6,1.5,3.1,0.1,0.3,0.7,0.8,0.2,1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627750,Jamal Murray,1610612743,DEN,27.0,12,38.5,4.5,2.25,2.25,1.83,0.0,0.67,1.58,0.33,0.33,0.67,0.5,0.5,0.0,0.5,0.5,0.5,0.25,0.0,1.0,1.0,0.5
201935,James Harden,1610612746,LAC,34.0,6,40.3,4.83,2.33,2.5,1.33,0.17,0.17,0.33,0.5,0.17,0.67,0.75,0.25,0.0,0.67,0.67,0.5,0.33,0.0,1.0,1.0,0.667
1627759,Jaylen Brown,1610612738,BOS,27.0,19,37.2,3.37,1.63,1.74,2.0,0.0,0.0,0.0,0.58,0.58,1.16,0.5,0.5,0.05,0.95,1.0,0.95,0.26,0.053,0.947,0.947,0.263
1628369,Jayson Tatum,1610612738,BOS,26.0,19,40.4,4.0,2.42,1.58,1.53,0.0,0.74,1.79,0.32,0.37,0.68,0.462,0.538,0.16,1.11,1.26,1.16,0.68,0.125,0.875,0.957,0.565
203954,Joel Embiid,1610612755,PHI,30.0,6,41.4,10.83,9.5,1.33,2.17,0.0,4.33,10.67,1.17,0.83,2.0,0.583,0.417,0.67,3.67,4.33,4.33,2.0,0.154,0.846,1.0,0.462
201950,Jrue Holiday,1610612738,BOS,34.0,19,37.9,4.16,2.21,1.95,2.84,0.05,0.95,2.42,0.37,0.32,0.68,0.538,0.462,0.21,0.79,1.0,1.0,0.32,0.211,0.789,1.0,0.316
1626157,Karl-Anthony Towns,1610612750,MIN,28.0,16,32.6,5.25,3.81,1.44,1.38,0.06,0.88,1.94,0.63,0.25,0.88,0.714,0.286,0.13,0.81,0.94,0.94,0.56,0.133,0.867,1.0,0.6
202695,Kawhi Leonard,1610612746,LAC,33.0,2,29.7,3.0,1.5,1.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0
201142,Kevin Durant,1610612756,PHX,35.0,4,42.1,7.25,4.75,2.5,2.75,0.0,0.5,1.0,0.0,0.75,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5
204001,Kristaps Porzingis,1610612738,BOS,28.0,7,23.5,9.86,7.43,2.43,1.57,0.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.29,1.14,1.43,1.43,0.57,0.2,0.8,1.0,0.4
202681,Kyrie Irving,1610612742,DAL,32.0,22,40.0,3.0,1.23,1.77,2.41,0.0,0.27,0.64,0.82,0.59,1.41,0.581,0.419,0.14,0.41,0.55,0.55,0.18,0.25,0.75,1.0,0.333
2544,LeBron James,1610612747,LAL,39.0,5,40.8,4.6,3.0,1.6,3.6,0.4,0.8,1.8,0.2,0.4,0.6,0.333,0.667,0.0,1.0,1.0,1.0,0.4,0.0,1.0,1.0,0.4
1629652,Luguentz Dort,1610612760,OKC,25.0,10,35.0,5.1,3.1,2.0,1.6,0.1,1.3,3.0,0.9,0.8,1.7,0.529,0.471,0.3,0.1,0.4,0.4,0.3,0.75,0.25,1.0,0.75
1629029,Luka Doncic,1610612742,DAL,25.0,22,40.9,3.95,1.18,2.77,3.18,0.09,0.27,0.64,0.23,0.45,0.68,0.333,0.667,0.0,0.32,0.32,0.32,0.09,0.0,1.0,1.0,0.286
