PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
1630578,Alperen Sengun,1610612745,HOU,63,29,34,32.5,2.9,2.0,0.8,0.689,6.5,0.446,0.1,0.456,5.7,6.4,1.8,4.5,0.276,11.0,0.587,1.3,0.662,5.3,9.3,3.8,5.3,0.404,17.0,0.55,1.4,0.6,5.4
203076,Anthony Davis,1610612747,LAL,74,43,31,35.5,3.1,2.4,0.7,0.775,6.1,0.508,0.1,0.512,4.2,9.5,3.3,6.1,0.346,14.1,0.672,1.0,0.721,4.4,12.6,5.7,6.8,0.452,20.1,0.629,1.0,0.662,4.3
1630162,Anthony Edwards,1610612750,MIN,78,53,25,35.5,0.7,0.3,0.3,0.462,1.6,0.419,0.1,0.441,8.1,4.8,0.9,3.9,0.188,7.5,0.644,0.7,0.709,7.5,5.5,1.2,4.3,0.221,9.1,0.608,0.8,0.665,7.6
1628389,Bam Adebayo,1610612748,MIA,70,40,30,34.0,2.2,1.4,0.8,0.637,4.7,0.473,0.1,0.486,6.3,8.1,2.2,5.8,0.274,12.3,0.664,0.9,0.719,5.4,10.4,3.7,6.6,0.352,16.6,0.626,1.1,0.669,5.6
1630595,Cade Cunningham,1610612765,DET,61,9,52,33.5,0.5,0.2,0.3,0.367,2.0,0.244,0.1,0.256,14.0,3.8,0.7,3.0,0.188,6.2,0.609,0.6,0.678,7.8,4.2,0.9,3.3,0.208,8.1,0.523,0.7,0.574,8.5
1641717,Cason Wallace,1610612760,OKC,74,53,21,21.1,0.7,0.4,0.3,0.615,1.7,0.419,0.1,0.441,9.0,1.8,0.4,1.4,0.215,3.4,0.538,0.4,0.6,9.9,2.5,0.8,1.7,0.326,5.0,0.505,0.4,0.553,9.7
1631096,Chet Holmgren,1610612760,OKC,82,57,25,29.4,1.6,1.1,0.5,0.713,4.0,0.398,0.1,0.411,6.3,6.3,2.2,3.9,0.355,11.0,0.578,1.2,0.647,4.0,7.9,3.4,4.4,0.426,14.5,0.544,1.3,0.597,4.5
203081,Damian Lillard,1610612749,MIL,72,48,24,35.3,0.5,0.2,0.3,0.389,1.8,0.273,0.1,0.288,12.4,3.9,0.5,3.4,0.127,6.4,0.617,0.4,0.659,8.9,4.4,0.7,3.7,0.156,8.2,0.545,0.5,0.581,9.3
1628368,De'Aaron Fox,1610612758,SAC,74,42,32,35.9,0.9,0.3,0.6,0.358,2.3,0.399,0.1,0.416,14.4,3.7,0.7,2.9,0.19,6.0,0.618,0.6,0.681,9.1,4.6,1.0,3.5,0.224,8.1,0.57,0.6,0.619,10.2
201942,DeMar DeRozan,1610612741,CHI,76,35,41,37.8,0.6,0.2,0.3,0.357,1.9,0.298,0.1,0.307,11.5,3.8,0.6,3.1,0.157,6.4,0.589,0.6,0.649,8.5,4.3,0.8,3.5,0.182,8.0,0.538,0.6,0.585,8.9
1628401,Derrick White,1610612738,BOS,72,57,15,32.6,0.7,0.3,0.4,0.469,1.9,0.35,0.1,0.368,10.2,3.6,0.6,2.9,0.18,6.7,0.534,0.7,0.597,7.5,4.2,1.0,3.3,0.226,8.5,0.5,0.8,0.552,7.9
1626164,Devin Booker,1610612756,PHX,65,42,23,36.0,0.9,0.3,0.6,0.321,2.0,0.424,0.1,0.441,12.3,3.8,0.6,3.2,0.158,6.6,0.576,0.5,0.624,9.0,4.7,0.9,3.7,0.188,8.5,0.546,0.6,0.586,9.6
1627734,Domantas Sabonis,1610612758,SAC,82,46,36,35.7,3.6,2.3,1.3,0.633,8.3,0.432,0.3,0.446,4.8,10.1,2.6,7.2,0.257,15.4,0.653,1.5,0.724,5.0,13.7,4.9,8.5,0.355,23.1,0.592,1.8,0.641,4.9
1628378,Donovan Mitchell,1610612739,CLE,54,36,18,35.4,0.9,0.2,0.6,0.283,1.8,0.469,0.0,0.474,11.4,4.3,0.8,3.5,0.184,6.7,0.645,0.4,0.682,8.6,5.2,1.0,4.1,0.2,8.4,0.621,0.4,0.651,9.0
203110,Draymond Green,1610612744,GSW,54,33,21,27.1,1.4,0.9,0.5,0.662,3.0,0.457,0.1,0.465,6.0,5.9,1.5,4.1,0.26,8.9,0.662,0.7,0.718,5.1,7.3,2.4,4.6,0.336,11.4,0.639,0.8,0.685,5.3
203507,Giannis Antetokounmpo,1610612749,MIL,73,45,28,35.2,2.7,1.8,0.9,0.653,5.4,0.494,0.2,0.513,6.8,8.8,2.1,6.6,0.237,12.6,0.7,0.8,0.746,4.9,11.5,3.8,7.5,0.334,17.6,0.654,1.0,0.693,5.4
1629630,Ja Morant,1610612763,MEM,9,6,3,35.3,0.7,0.2,0.6,0.333,2.3,0.286,0.1,0.3,11.1,4.9,0.6,4.3,0.114,8.1,0.603,0.7,0.657,7.0,5.6,0.8,4.9,0.14,10.2,0.543,0.8,0.588,7.6
1628973,Jalen Brunson,1610612752,NYK,75,47,28,35.8,0.6,0.0,0.5,0.07,1.9,0.301,0.1,0.319,16.5,3.1,0.4,2.6,0.14,5.5,0.568,0.4,0.61,8.9,3.7,0.5,3.1,0.129,7.3,0.505,0.5,0.542,10.0
1631114,Jalen Williams,1610612760,OKC,69,49,20,31.6,0.5,0.3,0.3,0.486,1.9,0.278,0.0,0.285,8.6,3.6,0.7,2.7,0.208,6.2,0.576,0.7,0.646,7.6,4.1,1.0,3.0,0.245,7.9,0.519,0.7,0.571,7.8
1627750,Jamal Murray,1610612743,DEN,56,42,14,31.4,0.7,0.3,0.4,0.425,1.7,0.421,0.0,0.43,11.2,3.5,0.6,2.8,0.175,5.4,0.638,0.5,0.698,8.1,4.2,0.9,3.3,0.218,7.0,0.6,0.5,0.646,8.7
201935,James Harden,1610612746,LAC,70,45,25,34.7,0.5,0.2,0.3,0.441,1.8,0.274,0.1,0.288,9.9,4.6,0.9,3.7,0.185,6.8,0.678,0.4,0.723,8.5,5.1,1.1,4.0,0.209,8.2,0.627,0.5,0.669,8.6
1628991,Jaren Jackson Jr.,1610612763,MEM,66,22,44,32.2,1.3,0.7,0.6,0.518,3.5,0.368,0.1,0.374,8.8,4.2,1.0,3.2,0.232,8.2,0.515,0.8,0.568,6.7,5.5,1.7,3.8,0.299,11.4,0.484,0.8,0.522,7.2
1627759,Jaylen Brown,1610612738,BOS,68,50,18,33.5,1.2,0.7,0.5,0.578,3.2,0.379,0.1,0.395,10.7,4.4,0.9,3.4,0.203,7.3,0.611,0.6,0.669,7.4,5.6,1.6,4.0,0.284,10.2,0.556,0.8,0.601,8.1
1628369,Jayson Tatum,1610612738,BOS,73,56,17,35.7,0.9,0.4,0.5,0.422,2.3,0.379,0.1,0.393,10.5,7.2,1.1,6.0,0.154,9.9,0.731,0.7,0.788,6.1,8.1,1.5,6.5,0.183,11.8,0.683,0.8,0.732,6.5
202710,Jimmy Butler,1610612748,MIA,60,33,27,34.0,1.8,0.9,0.8,0.533,4.0,0.441,0.1,0.455,7.4,3.6,0.8,2.7,0.225,5.5,0.645,0.5,0.708,8.8,5.3,1.7,3.5,0.327,9.4,0.562,0.6,0.6,8.3
203954,Joel Embiid,1610612755,PHI,39,31,8,33.6,2.4,1.6,0.8,0.674,4.8,0.503,0.2,0.528,5.5,8.6,2.8,5.5,0.328,13.6,0.631,1.2,0.689,4.7,11.0,4.5,6.3,0.405,18.3,0.604,1.4,0.653,4.9
201950,Jrue Holiday,1610612738,BOS,67,51,16,32.8,1.3,0.6,0.7,0.464,3.2,0.396,0.1,0.416,11.1,4.3,0.8,3.4,0.189,7.1,0.605,0.6,0.656,7.4,5.5,1.4,4.1,0.251,10.0,0.551,0.7,0.592,8.3
203944,Julius Randle,1610612752,NYK,46,29,17,35.4,2.2,1.3,0.8,0.606,5.4,0.396,0.2,0.411,7.6,7.0,1.4,5.3,0.201,10.3,0.685,1.0,0.755,5.1,9.2,2.7,6.2,0.296,15.2,0.607,1.2,0.657,5.7
1626157,Karl-Anthony Towns,1610612750,MIN,62,42,20,32.7,1.5,1.0,0.5,0.681,3.7,0.412,0.1,0.42,6.6,6.8,1.7,5.0,0.254,9.5,0.716,0.6,0.763,5.7,8.3,2.8,5.5,0.332,12.9,0.642,0.6,0.676,5.9
202695,Kawhi Leonard,1610612746,LAC,67,43,24,34.2,1.2,0.5,0.7,0.39,2.7,0.456,0.1,0.474,10.0,4.9,1.1,3.5,0.225,7.1,0.681,0.6,0.74,8.7,6.1,1.6,4.3,0.258,9.4,0.647,0.7,0.697,8.9
201142,Kevin Durant,1610612756,PHX,74,44,30,37.2,0.5,0.2,0.3,0.4,1.6,0.333,0.1,0.36,16.7,6.0,1.2,4.6,0.207,8.6,0.696,0.5,0.742,7.3,6.6,1.5,5.0,0.223,9.9,0.659,0.6,0.705,8.1
204001,Kristaps Porzingis,1610612738,BOS,57,43,14,29.6,1.7,1.1,0.6,0.629,3.5,0.487,0.2,0.513,5.8,5.5,2.0,3.5,0.362,10.3,0.533,1.2,0.605,4.6,7.2,3.1,4.1,0.425,13.5,0.531,1.4,0.592,4.9
202681,Kyrie Irving,1610612742,DAL,57,38,19,35.1,0.8,0.2,0.5,0.326,2.0,0.371,0.1,0.391,13.2,4.3,0.9,3.4,0.205,7.0,0.608,0.5,0.659,9.2,5.0,1.1,3.9,0.223,8.9,0.563,0.6,0.607,9.8
1630163,LaMelo Ball,1610612766,CHA,22,7,15,32.3,1.3,0.5,0.8,0.345,2.6,0.5,0.1,0.518,8.7,3.8,0.4,3.5,0.095,5.6,0.683,0.1,0.7,9.0,5.1,0.8,4.3,0.159,8.2,0.628,0.2,0.646,8.9
