PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
1630578,Alperen Sengun,Alperen,1610612745,HOU,21.0,63,29,34,0.46,32.5,0.887,0.113,0.742,0.045,0.074,0.049,0.184,0.133,0.697,0.626,0.374,1.0,0.0,0.649,0.351,527,982,0.537,191,213,446,351,66,78,491,97,259,468,475,128,340,82,255,299,1,329,355,206,36,56,92
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,76,45,31,0.592,35.5,0.917,0.083,0.729,0.092,0.046,0.076,0.225,0.145,0.638,0.67,0.33,0.966,0.034,0.682,0.318,713,1283,0.556,61,66,406,184,14,71,498,101,133,477,428,61,283,118,203,351,236,259,303,258,9,19,78
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,79,54,25,0.684,35.1,0.659,0.341,0.515,0.102,0.278,0.151,0.207,0.159,0.413,0.331,0.669,0.558,0.442,0.391,0.609,718,1558,0.461,30,18,311,67,22,215,354,276,112,343,203,79,204,310,494,60,480,18,524,37,8,3,252
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,71,40,31,0.563,34.0,0.959,0.041,0.753,0.095,0.033,0.083,0.214,0.127,0.658,0.573,0.427,1.0,0.0,0.585,0.415,530,1017,0.521,118,110,406,241,37,55,514,92,126,484,411,73,364,109,309,245,1,329,394,167,34,49,113
1630595,Cade Cunningham,Cade,1610612765,DET,22.0,62,9,53,0.145,33.5,0.713,0.287,0.577,0.172,0.254,0.085,0.169,0.104,0.404,0.262,0.738,0.706,0.294,0.363,0.637,524,1167,0.449,200,412,555,541,48,156,413,203,37,362,403,165,467,319,516,38,442,56,529,32,38,31,297
1641717,Cason Wallace,Cason,1610612760,OKC,20.0,82,57,25,0.695,20.6,0.471,0.529,0.424,0.064,0.524,0.209,0.052,0.175,0.36,0.655,0.345,0.969,0.031,0.797,0.203,217,442,0.491,2,4,311,60,237,411,157,381,202,128,74,495,132,365,219,335,223,275,167,394,195,199,165
1631096,Chet Holmgren,Chet,1610612760,OKC,22.0,82,57,25,0.695,29.4,0.634,0.366,0.554,0.046,0.285,0.084,0.161,0.136,0.508,0.652,0.348,0.977,0.023,0.735,0.265,505,953,0.53,2,4,311,60,108,235,334,228,255,339,406,189,321,207,226,328,204,294,242,319,43,60,102
203081,Damian Lillard,Damian,1610612749,MIL,33.0,73,48,25,0.658,35.3,0.513,0.487,0.362,0.082,0.372,0.075,0.266,0.105,0.279,0.196,0.804,0.509,0.491,0.323,0.677,541,1277,0.424,99,36,311,91,18,364,205,437,163,251,430,31,466,451,532,22,485,13,543,18,31,20,392
1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,26.0,74,42,32,0.568,35.9,0.626,0.374,0.515,0.083,0.327,0.139,0.158,0.153,0.431,0.198,0.802,0.626,0.374,0.325,0.675,720,1549,0.465,87,88,425,232,10,244,325,277,156,295,245,195,242,280,531,23,467,31,539,21,7,4,234
201942,DeMar DeRozan,DeMar,1610612741,CHI,34.0,79,37,42,0.468,37.8,0.834,0.166,0.606,0.249,0.119,0.037,0.275,0.133,0.357,0.282,0.718,0.853,0.147,0.348,0.652,650,1355,0.48,30,139,515,346,1,95,474,177,14,452,496,25,335,369,507,47,372,126,533,28,14,14,198
1628401,Derrick White,Derrick,1610612738,BOS,29.0,73,58,15,0.795,32.6,0.41,0.59,0.345,0.033,0.531,0.125,0.124,0.118,0.313,0.419,0.581,0.801,0.199,0.612,0.388,387,839,0.461,99,3,168,20,64,453,116,451,315,126,291,298,412,420,440,114,401,97,379,182,87,82,249
1626164,Devin Booker,Devin,1610612756,PHX,27.0,68,43,25,0.632,36.0,0.68,0.32,0.532,0.2,0.248,0.139,0.22,0.114,0.332,0.373,0.627,0.612,0.388,0.43,0.57,642,1305,0.492,148,79,311,118,8,184,385,249,24,374,248,64,427,400,471,83,470,28,507,54,16,17,163
1627734,Domantas Sabonis,Domantas,1610612758,SAC,28.0,82,46,36,0.561,35.7,0.919,0.081,0.755,0.041,0.062,0.073,0.183,0.124,0.713,0.607,0.393,0.909,0.091,0.623,0.377,634,1068,0.594,2,52,469,248,12,70,499,91,276,475,432,131,390,77,278,276,320,176,375,186,19,43,49
