CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,1.0,9.41,21.36,0.441,0.5,-0.059
203999,Nikola Jokic,1610612743,DEN,C,29.0,78,78,1.0,10.21,19.99,0.511,0.505,0.005
203497,Rudy Gobert,1610612750,MIN,C,32.0,76,76,1.0,8.24,18.95,0.435,0.495,-0.06
203076,Anthony Davis,1610612747,LAL,F-C,31.0,76,76,1.0,8.93,18.92,0.472,0.495,-0.023
204001,Kristaps Porzingis,1610612738,BOS,F-C,28.0,57,57,1.0,8.19,18.91,0.433,0.489,-0.055
1630578,Alperen Sengun,1610612745,HOU,C,21.0,63,63,1.0,9.29,18.87,0.492,0.499,-0.007
1627734,Domantas Sabonis,1610612758,SAC,F-C,28.0,82,82,1.0,8.33,17.16,0.485,0.505,-0.019
1630567,Scottie Barnes,1610612761,TOR,F-G,22.0,60,60,1.0,8.35,16.88,0.495,0.482,0.012
1641705,Victor Wembanyama,1610612759,SAS,F-C,20.0,71,71,1.0,7.7,16.7,0.461,0.504,-0.043
1631096,Chet Holmgren,1610612760,OKC,C-F,22.0,82,82,1.0,7.38,16.21,0.455,0.499,-0.044
1629029,Luka Doncic,1610612742,DAL,F-G,25.0,70,70,1.0,7.49,15.53,0.482,0.474,0.008
1628374,Lauri Markkanen,1610612762,UTA,F-C,27.0,55,55,1.0,7.53,15.2,0.495,0.485,0.01
201950,Jrue Holiday,1610612738,BOS,G,34.0,69,69,1.0,6.57,14.57,0.451,0.472,-0.021
1629630,Ja Morant,1610612763,MEM,G,24.0,9,9,1.0,8.11,14.56,0.557,0.472,0.086
203110,Draymond Green,1610612744,GSW,F,34.0,55,55,1.0,6.16,14.35,0.43,0.495,-0.065
202331,Paul George,1610612746,LAC,F,34.0,74,74,1.0,6.32,14.19,0.446,0.472,-0.026
1627750,Jamal Murray,1610612743,DEN,G,27.0,58,58,1.0,6.36,14.19,0.448,0.47,-0.022
1631094,Paolo Banchero,1610612753,ORL,F,21.0,80,80,1.0,6.83,14.14,0.483,0.482,0.0
203944,Julius Randle,1610612752,NYK,F-C,29.0,46,46,1.0,6.74,14.0,0.481,0.49,-0.008
1628389,Bam Adebayo,1610612748,MIA,C-F,26.0,71,71,1.0,6.15,13.97,0.441,0.491,-0.05
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,25.0,75,75,1.0,6.27,13.91,0.451,0.465,-0.014
1627783,Pascal Siakam,1610612754,IND,F,30.0,80,80,1.0,6.93,13.85,0.5,0.476,0.024
1628401,Derrick White,1610612738,BOS,G,29.0,73,73,1.0,6.27,13.84,0.453,0.47,-0.016
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,24.0,66,66,1.0,6.45,13.82,0.467,0.493,-0.026
1630595,Cade Cunningham,1610612765,DET,G,22.0,62,62,1.0,6.84,13.79,0.496,0.469,0.027
1626157,Karl-Anthony Towns,1610612750,MIN,C-F,28.0,62,62,1.0,6.35,13.53,0.47,0.479,-0.009
201935,James Harden,1610612746,LAC,G,34.0,72,72,1.0,6.49,13.46,0.482,0.472,0.01
1628368,De'Aaron Fox,1610612758,SAC,G,26.0,74,74,1.0,6.57,13.26,0.495,0.468,0.028
1629027,Trae Young,1610612737,ATL,G,25.0,54,54,1.0,6.65,13.11,0.507,0.461,0.046
1626164,Devin Booker,1610612756,PHX,G,27.0,68,68,1.0,6.09,12.87,0.473,0.466,0.007
201142,Kevin Durant,1610612756,PHX,F,35.0,75,75,1.0,5.56,12.57,0.442,0.479,-0.037
203507,Giannis Antetokounmpo,1610612749,MIL,F,29.0,73,73,1.0,5.77,12.48,0.462,0.484,-0.021
203081,Damian Lillard,1610612749,MIL,G,33.0,73,73,1.0,5.53,12.22,0.453,0.462,-0.009
201942,DeMar DeRozan,1610612741,CHI,G-F,34.0,78,78,1.0,5.77,12.18,0.474,0.473,0.001
202695,Kawhi Leonard,1610612746,LAC,F,33.0,68,68,1.0,5.79,12.18,0.476,0.473,0.002
1628969,Mikal Bridges,1610612751,BKN,G-F,27.0,80,80,1.0,5.39,11.59,0.465,0.47,-0.005
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,69,69,1.0,5.32,11.55,0.46,0.464,-0.004
1628973,Jalen Brunson,1610612752,NYK,G,27.0,77,77,1.0,5.74,11.53,0.498,0.466,0.032
1629652,Luguentz Dort,1610612760,OKC,G,25.0,79,79,1.0,5.13,11.49,0.446,0.47,-0.024
202681,Kyrie Irving,1610612742,DAL,G,32.0,58,58,1.0,5.47,11.14,0.491,0.465,0.025
201939,Stephen Curry,1610612744,GSW,G,36.0,74,74,1.0,5.28,11.09,0.476,0.466,0.01
1630162,Anthony Edwards,1610612750,MIN,G,22.0,79,79,1.0,4.86,10.94,0.444,0.469,-0.024
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,70,1.0,4.83,10.79,0.448,0.471,-0.024
1629627,Zion Williamson,1610612740,NOP,F,23.0,70,70,1.0,5.1,10.79,0.473,0.477,-0.004
202710,Jimmy Butler,1610612748,MIA,F,34.0,60,60,1.0,5.03,10.65,0.473,0.472,0.0
1628369,Jayson Tatum,1610612738,BOS,F-G,26.0,74,74,1.0,4.95,10.59,0.467,0.475,-0.008
1630169,Tyrese Haliburton,1610612754,IND,G,24.0,69,69,1.0,5.59,10.58,0.529,0.465,0.064
2544,LeBron James,1610612747,LAL,F,39.0,70,70,1.0,4.69,10.14,0.462,0.48,-0.018
1631114,Jalen Williams,1610612760,OKC,G-F,23.0,71,71,1.0,4.46,9.96,0.448,0.473,-0.025
1630163,LaMelo Ball,1610612766,CHA,G,22.0,22,22,1.0,5.64,9.64,0.585,0.47,0.114
1628378,Donovan Mitchell,1610612739,CLE,G,27.0,55,55,1.0,4.33,9.09,0.476,0.47,0.006
1641717,Cason Wallace,1610612760,OKC,G,20.0,82,82,1.0,4.01,8.98,0.447,0.459,-0.012
201566,Russell Westbrook,1610612746,LAC,G,35.0,68,68,1.0,3.15,7.22,0.436,0.465,-0.03
